,domain,company_commercial_name,company_legal_name,company_all_available_names,Email,Media,Phone,Address
299,coopster.org,Esk River NSW,,Esk River NSW,,"['http://twitter.com/share?url=http://coopster.org/4/post/2025/03/back-on-line.html', 'http://twitter.com/share?url=http://coopster.org/4/post/2021/05/happy-days-we-now-have.html', 'http://twitter.com/share?url=http://coopster.org/4/post/2021/04/but-we-have-not-done-it-alone.html', 'http://twitter.com/share?url=http://coopster.org/4/post/2021/04/how-time-flies.html', 'http://twitter.com/share?url=http://coopster.org/4/post/2020/11/november-23rd-2020.html', 'http://twitter.com/share?url=http://coopster.org/4/post/2020/11/update-from-nymboida.html', 'http://twitter.com/share?url=http://coopster.org/4/post/2020/02/sunday-feb-9th.html', 'http://twitter.com/share?url=http://coopster.org/4/post/2020/02/update-7th-of-february.html', 'http://twitter.com/share?url=http://coopster.org/4/post/2020/01/jan-27th-2020.html', 'http://twitter.com/share?url=http://coopster.org/4/post/2020/01/january-24th-2020.html']","['343-2011', '003-2018', '20032018']",
300,directjet.com,Direct Jet Charter LLC.,Direct Jet Charter LLC.,Direct Jet Charter LLC. | Direct Jet Charter | Direct Jet,,,,
301,sacreativedesign.com,SA Creative Design,,SA Creative Design,,,,
302,yjlashstudio.com,YJ EYELASH,YJ Eyelash Inc.,YJ EYELASH | YJ Eyelash Inc.,,,,
303,sanfranciscowinecenter.com,SF Wine Center,Indie Wine Company,SF Wine Center | San Francisco Wine Center | Indie Wine Company,,,,
304,sceniclandscaping.net,Scenic Landscaping,,Scenic Landscaping,,,,
305,techsynario.com,Tech Synario,,Tech Synario,,,,
306,temploebenezerweslaco.com,TEMPLO EBENEZER WESLACO,,TEMPLO EBENEZER WESLACO,,,,
307,cotherix.com,Cotherix,Cotherix Inc.,Cotherix | Cotherix Inc. | ctelion Pharmaceuticals US Inc.,,,,
308,leahyfamilydentistry.com,Leahy Family Dentistry,,"Leahy Family Dentistry | Leahy, Kenneth Dds",,,,
309,ohanacrm.com,Ohana CRM,,Ohana CRM,,,,
310,pd2llc.com,Process Design Development,,Process Design Development,,,,
311,romesportshalloffame.com,Rome Sports Hall of Fame,,Rome Sports Hall of Fame | Rome Sports Hall of Fame &amp Museum,,,,
312,studiobsalon.net,Studio B Salon,,Studio B Salon,,,,
313,aristacons.com,Arista,,Arista,['Supportyou@Delaware.com'],"['https://facebook.com/delaware', 'https://twitter.com/delaware']","['+1 857 899-0009', '+2 857 899-0009', '+3 857 899-0009', '(857) 899-0009']",['DE 198 Tech Road']
314,sbmobilenails.com,SB Mobile Nail,,SB Mobile Nail,,,,
315,aether-multimedia-llc.business.site,Aether Multimedia Productions LLC.,Aether Multimedia Productions LLC.,Aether Multimedia Productions LLC.,,,,
316,aspecialtouchflorist.net,A Special Touch Florist,,A Special Touch Florist,,,,
317,cowpaddyfudge.wordpress.com,Cow Paddy Irish Fudge,,Cow Paddy Irish Fudge | Cowpaddyfudge,,,,
318,maquez-kennelz.business.site,Marquez Kennelz,,Marquez Kennelz,,,,
319,tax-masters.net,Tax-Masters,,Tax-Masters,,,,
320,ticketsregina.com,Tickets Regina,,Tickets Regina,,,,
321,abujaluxuryhome.com,Abuja Luxury Homes,,Abuja Luxury Homes | Abuja Luxury Homes & Appartment | Abuja Luxury Homes & Property,,,,
322,belozapp.com,BEL-OZ LTD.,BEL-OZ LTD.,BEL-OZ LTD.,,,,
323,harmonystarkennel.com,Harmony Star Kennel,,Harmony Star Kennel,,,,
324,homesforsalescv.com,Laura Hannasch,,Laura Hannasch,,,,
325,1stamc.com,1st American Mortgage Corporation,1st American Mortgage Corporation,1st American Mortgage Corporation,"['info@1stamc.com', 'info@1stAMC.com']","['https://www.facebook.com/1stAMC/', 'https://www.linkedin.com/in/susan-and-manuel-perez-44933012']","['(626) 483-6281', '(626) 483-6280', '449-3301', '(800) 944-4072', '(180) 094-4407', '116-7259', '101222979', '(162) 648-3628']",
326,abbevillecalendar.com,Abbeville Calendar,,Abbeville Calendar,,,,
327,apollostreams.com,Apollo Streams,Apollo Streams Inc.,Apollo Streams | Apollo Streams Inc.,,,,
328,fitfeetflorida.com,Fit Feet For Life,,Fit Feet For Life | Fit Feet For,"['', 'template.placeholder@gmail.com']","['https://www.facebook.com/FitFeetForLifeFootandAnkle/', 'https://www.facebook.com/squarespace/', 'https://twitter.com/squarespace?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor']","['(813) 645-1993', '(727) 824-5100', '813-6451', '(813) 563-6458', '(212) 555-0110']",
329,kaylabeehler.com,Kayla Beehler,,Kayla Beehler | Ashcroft Inc.,,"['https://www.instagram.com/kb_designs/', 'https://www.linkedin.com/in/kayla-beehler-61691410a/']",['616-9141'],
330,parisfumc.org,Paris First United Methodist Church Inc.,Paris First United Methodist Church Inc.,Paris First United Methodist Church Inc. | Paris FUMC,,,,
331,jointguard.com,Joint Guard,,Joint Guard,['\n                       info@liptisusa.com\n                    '],,,
332,kusbeautyusa.com,Kus beauty,,Kus beauty,,,,
333,logansquarelaundry.com,Logan Square Laundry,,Logan Square Laundry,,,,
334,mogreenway.com,Greenway Magazine,Kansas City Cannabis Co.,Greenway Magazine | Greenway Media | Kansas City Cannabis Co.,,,['(314) 400-8136'],
335,al-advertising-diet-store.com,AL Advertising Diet Store,,AL Advertising Diet Store | AL Advertising,,,,
336,artworkbydoyle.com,Artwork by Doyle,,Artwork by Doyle,,,,
337,bc-hinger.com,BC HINGER,,BC HINGER,,,,
338,beautyblueprintllc.com,Beauty Blueprint LLC.,Beauty Blueprint LLC.,Beauty Blueprint LLC. | Beauty Blueprint,,,,
339,bookkeepinglogic.com,Bookkeeping Logic,Bookkeeping Logic Inc.,Bookkeeping Logic | Bookkeeping Logic QuickBooks | Bookkeeping Logic Inc.,,,,
340,neomedia-dg.com,Neomedia Design Group,,Neomedia Design Group | Neomedia Design Group - Home,,"['https://www.facebook.com/neomedia.dg', 'https://www.instagram.com/neomedia.dg', 'https://www.linkedin.com/company/neomedia-design-group']","['(915) 201-2695', '+2 491 520-12695']",
341,reveportraits.com,Reve Portraits,Reve Portraits Ltd.,Reve Portraits | Reve Portraits Ltd.,,,,
342,rustyskate.com,Rusty Skate,Rusty Skate - Broken Jar LLC.,Rusty Skate | Rusty Skate - Broken Jar LLC. | Broken Jar LLC.,,,,
343,shootmethevin.com,Shoot Me The Vin,,Shoot Me The Vin,,,,
344,3lechesbake.com,3 Leches Bakery Cafe,Leches Bakery & Cafe LLC.,3 Leches Bakery Cafe | 3 Leches Bakery | Leches Bakery & Cafe LLC.,,,,
345,baypointlabs.com,Bay Point Labs,Bay Point Laboratories Inc.,Bay Point Labs | Bay Point Laboratories Inc.,"['info@baypointlabs.com', '']",,['(707) 747-6081'],
346,bigtransformerbushings.com,Big Transformer Bushings,,Big Transformer Bushings,,,,
347,feltgoodmusic.com,Feltgood Music,,Feltgood Music | Feltgood,,,,
348,lionsteelstructuresco.com,Lion Steel Structures,,Lion Steel Structures,,,,
349,royaltycleaningva.co,Fit For Royalty Cleaning LLC.,Fit For Royalty Cleaning LLC.,Fit For Royalty Cleaning LLC.,,,,
350,sherricornett.com,Sherri Cornett,,Sherri Cornett,,,['110-5864'],
351,childcarecompany.org,THE CHILD CARE COMPANY,THE CHILD CARE COMPANY,THE CHILD CARE COMPANY | Child Care Company,,['//www.facebook.com/childcarecompany'],"['(240) 583-0865', '(171) 012-0116']",
352,kathrynsonmoonlake.com,Kathryn's of Mississippi Inc.,Kathryn's of Mississippi Inc.,Kathryn's of Mississippi Inc.,,,,
353,periogel.net,Perio Gel,,Perio Gel | Perio Gel Sales,,,,
354,prashnercpa.com,Prashner CPA,Prashner CPA P.C.,Barbara R. Prashner | Barbara Prashner | Prashner CPA | Prashner CPA P.C. | Barbara R. Prashner CPA P.C.,,"['https://www.facebook.com/Barbara-Prashner-CPA-PC-128144142015', 'https://us.linkedin.com/in/barbara-prashner-cpa-p-c-8914127']","['891-4127', '20182020', '(512) 326-1440', '(128) 144-1420']",
355,whittiershuttle.com,Whittier Alaska Shuttle,,Whittier Alaska Shuttle | Whittier shuttle,['info@alaskacruisetransfer.com'],,"['(190) 735-0601', '181-8709', '+1 888 257-8527', '1907350601018882578527', '+1 907 350-6010']",
356,aetheradvisors.com,Aether Advisors,AETHER ADVISORS LLC.,Aether Advisors | AETHER ADVISORS LLC.,,,,
357,ageanabrett.com,Humboldt County Real Estate Agent,,Humboldt County Real Estate Agent,,,,
358,crossroadsrvpk.com,Crossroads RV Park,,Crossroads RV Park,,,,
359,fightguard.net,Fight Guard Network,,Fight Guard Network | Fightguard,,,,
360,nationalcapitalfitday.com,Black Mold Busters,,Black Mold Busters,,,,
361,ordercrustandbuns.com,Crust & Buns,,Crust & Buns,,,,
362,seattlecandle.com,Seattle Candle Company,Seattle Candle Company,Seattle Candle Company,,,,
363,theneedlehouse.com,Needle House,,Needle House | The Needle House | Needledeeva Inc.,['NeedleHouse@TheNeedleHouse.com'],,"['(713) 522-9766', '(713) 522-9704', '(171) 352-2976', '131-2646', '20072025', '184-0218', '(171) 352-2970']",['2422 Tangley Street']
364,allstarbp.com,Allstar Simulators,,Allstar Simulators | Allstar BP,,,,
365,dallassurgicalgroup.com,Dallas Surgical Group,,Dallas Surgical Group,,,,
366,daveandtracy.org,David & Tracy,,David & Tracy,,,,
367,garagedoor-repair-waynenj.com,Garage Door Repair Wayne NJ,,Garage Door Repair Wayne NJ,,,['(973) 319-7770'],"['Our Address: 1591 Alps Rd, Wayne, NJ 07470, USA']"
368,jshs-tn.utk.edu,Tennessee Junior Science and Humanities Symposium,,Tennessee Junior Science and Humanities Symposium,,,,
369,jtheater.com,J.T. H EATER,,J.T. H EATER | J T Heater-Architect,,,,
370,randrdance.com,RR Dance STUDIO DJ Services,,RR Dance STUDIO DJ Services | R&R Dance,,,,
371,sbstransportllc.com,SBS Transport,SBS Transport LLC.,SBS Transport | SBS Transport LLC.,,,,
372,when2heartsbeatas1.org,When 2 Hearts Beat,,When 2 Hearts Beat | When 2 Hearts Beat as 1,,,,
373,abreakdisabilityandrespite.com,A Break Disability and Respite,A Break Disability and Respite Services PTY.,A Break Disability and Respite | A Break Disability and Respite Services PTY. | Respite Services PTY LTD. | A Break Disability and Respite Services,,,,
374,aestatix.com,Aestatix,AESTATIX LLC.,Aestatix | AESTATIX LLC.,,,,
375,cadottfamilyrestaurant.com,Cadott Family Restaurant,,Cadott Family Restaurant | Cadott Family,,,,
376,figureitoutagency.com,Figureitoutagency,,Figureitoutagency,,,,
377,galleongc.com,Galleon contracting,"Galleon Contracting, LLC","Galleon contracting | Galleon Contracting, LLC",,,,
378,jadynbags.com,Jadyn Bags,,Jadyn Bags,,,,
379,liverpoolchurch.com,Liverpool Community Church,,Liverpool Community Church,,,,
380,cwenergyusa.com,C&W Energy Solutions,C&W Energy Solutions LLC.,Chips & Wafers Inc. | C&W Energy Solutions LLC. | C&W Energy USA | Wafers Inc. | C&W Energy Solutions,,,,
381,indiyoung.com,Indi Young,,Indi Young,,,,
382,newasianjuyuan.com,New Asian Ju Yuan,,New Asian Ju Yuan,,,"['(763) 595-8888', '205-5427']",
383,simplicitymovers.com,Simplicity Movers,,Simplicity Movers,,,,
384,smartdivorcestrategy.com,Smart Divorce Strategy,,Smart Divorce Strategy,,"['https://www.linkedin.com/in/lauramiolla/', 'https://www.instagram.com/thebrainwisecoach/']",,
385,tandoorrestaurants.com,Tandoor Indian Grill - Millcreek,,Tandoor Indian Grill - Millcreek,,,,
386,tribeofdantours.com,Tribe of Dan Tours,,Tribe of Dan Tours,['danglick62@gmail.com'],,['(513) 328-8852'],
387,boyettrecovery.com,Boyett Treatment Center,,Boyett Treatment Center,,,,
388,erikashome.com,Erika Marsh Pitman,,Erika Marsh Pitman,,,,
389,hbcofrochester.org,Hillcrest Baptist Church,,Hillcrest Baptist Church,,['https://www.facebook.com/JesuslovesRochester/'],['(217) 491-3343'],
390,littlefeetforestschool.org,Little Feet Forest School,,Little Feet Forest School | Little Feet Forest S | Little Feet Forest,,,,
391,motinidesigns.com,Motini Designs,,Motini Designs,,,,
392,nationalcarousels158.com,National Carousels,,National Carousels,,,,
393,2020relining.com,20 20 Relining,,20 20 Relining | 20 20 Rooter & Relining,,,,
394,advancenetsupport.com,Advance Network Support,ADVANCE NETWORK SUPPORT INC,Advance Network Support | ADVANCE NETWORK SUPPORT INC,"['info@advancenetsupport.com', 'By submitting, I consent to receive text messages from Advance Network Support related to IT support issues, newsletter, tech tips, follow-up on your IT request ticket , etc. You may reply STOP to opt-out at any time. For assistance, reply HELP or email help@advancenetsupport.com. Messages and data rates may apply. Message frequency will vary. Learn more on our privacy policy page. *']","['https://www.facebook.com/profile.php?id=100064803528337', 'https://www.linkedin.com/company/106028228/admin/dashboard/', 'https://www.instagram.com/advancenetworksupport/']","['(100) 064-8035', '(305) 306-6487', '(178) 642-6349', '(786) 426-3492', '106-0282']",
395,drtompastor.com,Dr. Tom Pastor,Pinnacle Chiropractic Inc.,Dr. Tom Pastor | Pinnacle Chiropractic Inc.,"['', 'drtom@drtompastor.com']",,['(612) 314-3739'],['227 Colfax Ave N']
396,mottshay.com,Mott & Shay Inc.,Mott & Shay Inc.,Mott & Shay Inc. | Mott & Shay | Mott & Shay Consulting Foresters PLLC | Southern Land & Timber Consultants LLC.,,,,
397,patscrap.co.uk,Pats CRAP,,Pats CRAP,,,,
398,rethinkingwealth.org,Rethinking Wealth,The Ron Blue Institute,Rethinking Wealth | The Ron Blue Institute,,,,
399,centralcoastmd.com,Central Coast MD,,Central Coast MD,,,,
400,ellen4wcsd.com,Re-Elect Ellen Minetto,,Re-Elect Ellen Minetto | Committee to Elect Ellen Minetto,,,,
401,missinglnk.com,Missing Link,,Missing Link | Missing Link Motorcycle Apparel | Missing L8nk | Missing Ink,,,,
402,themorvarid.com,Morvarid shop,,Morvarid shop,,,,
403,thephotoboothunlimited.com,PhotoBooth Unlimited,PhotoBooth Unlimited LLC.,PhotoBooth Unlimited | PhotoBooth Unlimited LLC. | Thephotoboothunlimited,,,,
404,urtubiavielma.com,URTUBIA & VIELMA,URTUBIA & VIELMA LLC.,URTUBIA & VIELMA | URTUBIA & VIELMA LLC.,,,,
405,advertiserandmarketersplatform.com,Andmarketers,,Andmarketers,,,,
406,carvedsoulsmusic.com,Carved Souls,,Carved Souls,,,,
407,assemblyninja.com,Assembly ninjas,,Assembly ninjas,,,['(909) 278-9985'],
408,biodyn-lifesciences.com,BioDyn Lifesciences,BioDyn Lifesciences Inc.,BioDyn Lifesciences | BioDyn Lifesciences Inc. | Lifesciences Inc.,,,,
409,pastorecompany.com,Pastore Houldsworth & Co.,Pastore Houldsworth & Co.,Pastore Houldsworth & Co. | Pastore Houldsworth & Co. LLC. | Pastorecompany,,,,
410,sheetmetallocal399.com,Sheet Metal Workers International Association Local 399,Sheet Metal Workers Union,Sheet Metal Workers International Association Local 399 | Sheet Metal Workers Union,,,,
411,sweetadswebcast.com,Sweet Adelines International,,Sweet Adelines International,,"['http://facebook.com/sweetadelinesintl', 'http://instagram.com/sweetadelinesintl']",,
412,greenissue.eu,Greenissue,,Greenissue,,,,
413,kcc.org,Kcc Tibetan Buddhist Center,KAGYU CHANG CHUB CHULING CHURCH CORPORATION,Kcc Tibetan Buddhist Center | KAGYU CHANG CHUB CHULING CHURCH CORPORATION,,,,
414,river-valley-rv-park-tx.business.site,River Valley RV Park TX,,River Valley RV Park TX | River Valley RV Park,,,,
415,scentvillage.com,Scent Village,,Scent Village,,,,
416,virtekcompany.com,VIRTEK COMPANY,VIRTEK COMPANY,VIRTEK COMPANY | Virtek,"['info@virtekcompany.com', '   info@virtekcompany.com']",,"['(800) 844-9182', '(117) 225-6979']",
417,saipanyc.com,Saipa NYC,,Saipa NYC,,,,
418,hiddengallerywines.com,The Hidden Gallery,,The Hidden Gallery | Hidden Gallery wines,,"['https://www.facebook.com/hiddengallerywines', 'https://www.instagram.com/hiddengallerywines/']",,
419,kristyler.com,Kris Tyler WaterColor,,Kris Tyler WaterColor | Kris Tyler,,,,
420,perspicacitylabs.com,Perspicacity Labs,Perspicacity Labs LLC.,Perspicacity Labs | Perspicacity Labs LLC.,,,,
421,theuntamedcreative.co,The Untamed Creative,,The Untamed Creative | Untamed Creative,,,,
422,angelabrite.com,Angela Brite,Paralegal Certification Corp,Angela Brite | Paralegal Certification Corp,,,,
423,clovercutsandcolor.com,Clovercutsandcolor,,Clovercutsandcolor,,,,
424,macazancorp.com,Macazan,Macazan Corp.,Macazan | Macazan Corp.,,,,
425,ngchm.net,NG-CHM,,NG-CHM | NG-CHMs,,"['https://www.facebook.com/NextGenerationClusteredHeatMap', 'https://twitter.com/nextgenheatmaps', 'https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fhow-to-embed-next-generation-clustered-heat-maps-v2%2f', 'https://twitter.com/intent/tweet?text=How%20to%20Embed%20Next-Generation%20Clustered%20Heat%20Maps&url=%2fpost%2fhow-to-embed-next-generation-clustered-heat-maps-v2%2f', 'https://www.linkedin.com/cws/share?url=%2fpost%2fhow-to-embed-next-generation-clustered-heat-maps-v2%2f', 'https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fnew-features-in-ngchm-viewer%2f', 'https://twitter.com/intent/tweet?text=New%20Features%20in%20the%20NG-CHM%20Viewer%20and%20Builder&url=%2fpost%2fnew-features-in-ngchm-viewer%2f', 'https://www.linkedin.com/cws/share?url=%2fpost%2fnew-features-in-ngchm-viewer%2f', 'https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fnew-features-in-rstudio-ngchm%2f', 'https://twitter.com/intent/tweet?text=New%20features%20in%20the%20NG-CHM%20RStudio%20Containers&url=%2fpost%2fnew-features-in-rstudio-ngchm%2f', 'https://www.linkedin.com/cws/share?url=%2fpost%2fnew-features-in-rstudio-ngchm%2f', 'https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fnew-features-in-ngchm-galaxy%2f', 'https://twitter.com/intent/tweet?text=New%20features%20in%20the%20NG-CHM%20Galaxy%20Tool&url=%2fpost%2fnew-features-in-ngchm-galaxy%2f', 'https://www.linkedin.com/cws/share?url=%2fpost%2fnew-features-in-ngchm-galaxy%2f', 'https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fhow-to-embed-next-generation-clustered-heat-maps%2f', 'https://twitter.com/intent/tweet?text=Deprecated%3a%20How%20to%20Embed%20Next-Generation%20Clustered%20Heat%20Maps&url=%2fpost%2fhow-to-embed-next-generation-clustered-heat-maps%2f', 'https://www.linkedin.com/cws/share?url=%2fpost%2fhow-to-embed-next-generation-clustered-heat-maps%2f', 'https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fhow-to-examine-pathways-in-next-generation-clustered-heat-maps%2f', 'https://twitter.com/intent/tweet?text=How%20to%20Examine%20Pathways%20in%20Next%20Generation%20Clustered%20Heat%20Maps&url=%2fpost%2fhow-to-examine-pathways-in-next-generation-clustered-heat-maps%2f', 'https://www.linkedin.com/cws/share?url=%2fpost%2fhow-to-examine-pathways-in-next-generation-clustered-heat-maps%2f', 'https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fhow-to-create-next-generation-clustered-heat-maps-with-interactive-builder%2f', 'https://twitter.com/intent/tweet?text=How%20to%20Create%20Next-Generation%20Clustered%20Heat%20Maps%20with%20the%20Interactive%20Builder&url=%2fpost%2fhow-to-create-next-generation-clustered-heat-maps-with-interactive-builder%2f', 'https://www.linkedin.com/cws/share?url=%2fpost%2fhow-to-create-next-generation-clustered-heat-maps-with-interactive-builder%2f', 'https://www.facebook.com/sharer/sharer.php?u=%2fpost%2flinkout-type-descriptions%2f', 'https://twitter.com/intent/tweet?text=Linkout%20Type%20Descriptions&url=%2fpost%2flinkout-type-descriptions%2f', 'https://www.linkedin.com/cws/share?url=%2fpost%2flinkout-type-descriptions%2f', 'https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fhow-to-create-next-generation-clustered-heat-maps-with-isb-cgc-data%2f', 'https://twitter.com/intent/tweet?text=How%20to%20Create%20Next-Generation%20Clustered%20Heat%20Maps%20with%20data%20from%20the%20ISB%20Cancer%20Genomics%20Cloud&url=%2fpost%2fhow-to-create-next-generation-clustered-heat-maps-with-isb-cgc-data%2f', 'https://www.linkedin.com/cws/share?url=%2fpost%2fhow-to-create-next-generation-clustered-heat-maps-with-isb-cgc-data%2f', 'https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fclustered-heat-maps-for-big-data%2f', 'https://twitter.com/intent/tweet?text=Clustered%20Heat%20Maps%20for%20Big%20Data&url=%2fpost%2fclustered-heat-maps-for-big-data%2f', 'https://www.linkedin.com/cws/share?url=%2fpost%2fclustered-heat-maps-for-big-data%2f']",['267-4271'],
426,projectgestalt.com,Project Gestalt Inc.,Project Gestalt Inc.,Project Gestalt Inc. | Project Gestalt,,,,
427,ridgelinehomeinspect.com,Ridgeline Home Inspection Services,Ridgeline Home Inspection Services LLC.,Ridgeline Home Inspection Services | Ridgeline Home Inspection | Ridgeline Home Inspection Services LLC.,,,,
428,serenapezzato.com,Serena Pezzato,,Serena Pezzato,,,,
429,theblueprintshop.com,The Blueprint Shop LLC.,The Blueprint Shop LLC.,The Blueprint Shop LLC. | The Blueprint Shop | Blueprint Shop,,,,
430,yourtowcompany.com,Your Tow Company,Your Tow Company,Your Tow Company,,,,
431,designedbycarla.com,Designedbycarla,,Designedbycarla | Designedbycarla Marketing Agency,,,,
432,joyfuladoptions.com,Barbara C. Jones,,Barbara C. Jones,,,,
433,king-alexander.com,Kirkus Reviews,,Kirkus Reviews,,,,
434,signaturesportsurfaces.com,Signature Sport Surfaces,,Signature Sport Surfaces,,,,
435,whymessa.com,Why Messa,Why Messa & Associates P.C.,Why Messa | Why Messa & Associates P.C. | ssa & Associates P.C.,,,"['(610) 518-5328', '(215) 844-1614', '(856) 810-9555', '(215) 568-3500', '(856) 833-0600', '(856) 810-9500', '(908) 300-3900', '(215) 940-7700']","['2091 Springdale Road, Suite 2']"
436,deperevfw.net,De Pere VFW,,De Pere VFW | De Pere VFW Post,,,,
437,forrestpierce.com,Forrest Pierce Composer,,Forrest Pierce Composer | Forrest Pierce,['forrest@forrestpierce.com'],,['(971) 322-6669'],['3939 Aster Street']
438,northsidemeadows.com,Northside Meadows,,Northside Meadows,,,,
439,snfdata.com,SNFData,SNFdata Resources LLC.,SNFData | SNFdata Resources LLC. | SNFdata Resources Inc.,['support@SNFdata.com'],,['(877) 610-3282'],
440,taam.org,TAAM,,TAAM,,,,
441,archaeology.virginia.edu,Interdisciplinary Archaeology Program,European exploration. SHA.,Interdisciplinary Archaeology Program | Archaeology | European exploration. SHA. | Archaeology SAA.,,,,
442,myapexhomeinspection.com,Apex Home Inspection,,Apex Home Inspection,,,,
443,rivertownslp.com,Rivertowns Speech an,,Rivertowns Speech an | Rivertowns Speech and Language Therapy | Rivertowns Speech and Language | RIVERTOWN SPEECH AND LANGUAGE THERAPY,,,,
444,scottsbluffcountyscanner.com,Scotts Bluff County Scanner,,Scotts Bluff County Scanner | Bluff County,['Email : sbcoscanner@gmail.com'],"['https://facebook.com/panhandlescanner', 'https://facebook.com/custercountyscanner', 'https://facebook.com/dawescountyscanner', 'https://facebook.com/siouxcountyscanner', 'https://facebook.com/boxbuttecountyscanner', 'https://www.facebook.com/groups/140034503151221', 'https://instagram.com/panhandlescanner', 'https://twitter.com/sbcoscanner', 'http://instagram.com/panhandlescanner', 'http://twitter.com/sbcoscanner']","['(104) 700-7871', '(940) 224-6315', '(940) 224-6211', '(140) 034-5031']",
445,bloggingforextrader.com,Forex Trader Blogging,,Forex Trader Blogging,,,,
446,green-graphixz-clothing-company.business.site,Green Graphixz Clothing Company,Green Graphixz Clothing Company,Green Graphixz Clothing Company,,,,
447,ogcut.com,OG Barber,,OG Barber,,,,
448,50ggirls.com,50 G-GIRLS,50G-Girls Inc.,50 G-GIRLS | 50G-Girls Inc.,,,,
449,alluredesign.org,Allure Design,,Allure Design,,,,
450,moving2branson.com,Table Rock Lake Home Search,,Table Rock Lake Home Search,,,,
451,roland4fairview.com,ROLAND FELDMAN,,ROLAND FELDMAN,,,,
452,beezneedz.com,Beez Needz,,Beez Needz | Beez Needz Beekeeping Supplies,,,,
453,callunakennels.com,Calluna Kennels,,Calluna Kennels,,,,
454,car.hk,Loeber,,Loeber,,,,
455,audinashville.com,Audi Nashville Service Center,,Audi Nashville Service Center | Audi Nashville,,"['https://www.facebook.com/pages/Audi-Nashville/162522013767116', 'https://twitter.com/audi_nashville', 'https://www.instagram.com/audi/', 'https://www.facebook.com/audidowntownnashville', 'https://twitter.com/AudiDTNashville', 'https://www.instagram.com/AudiDowntownNashville/']","['(855) 894-6954', '(162) 522-0137']",
456,blackdiamondregulatory.com,Black Diamond Regulatory,Black Diamond Regulatory Consulting LLC.,Black Diamond Regulatory | Black Diamond Regulatory Consulting LLC. | Black Diamond Regulatory Consulting,"['blackdiamondreg@gmail.com', '', '(267) 251-3123 | blackdiamondreg@gmail.com']",,['(267) 251-3123'],
457,drmeganseltz.com,Dr. Megan Seltz,,Dr. Megan Seltz,['megan@drmreganseltz.com'],,"['(347) 753-4657', '(134) 775-3465']",
458,petexplain.com,PetExplain,,PetExplain,,,,
459,rainbowphillyweddingofficiants.com,Rainbow Philly Wedding Officiants,,Rainbow Philly Wedding Officiants | Rainbow Philly Wedding,,,,
460,sinceremobilephlebotomy.net,Sincere Touch Mobile Phlebotomy LLC.,Sincere Touch Mobile Phlebotomy LLC.,Sincere Touch Mobile Phlebotomy LLC. | Sincere Touch Mobile Phlebotomy | At Sincere Touch Mobile Phlebotomy LLC. | Touch Mobile Phlebotomy LLC.,"['christina@sinceremobilephlebotomy.net', 'sincerephlebotomy@gmail.com']","['https://www.facebook.com/sincerephlebotomy', 'http://instagram.com/']","['(682) 262-1935', '(817) 939-3117', '(682) 334-7282']",
461,aquamarinejewelrystudio.com,Aquamarine jewelry studio,,Aquamarine jewelry studio | Aquamarine Jewelry,,,,
462,christinereidphotography.com,Christine Reid Photography,,Christine Reid Photography | Christine Reid | Christine Reid Princ,,,,
463,dolphinsdigital.org,Dinosaurs Field day,,Dinosaurs Field day,,"['https://facebook.com/', 'http://linkedin.com/']",['626-0712'],
464,downunderpottery.com,Down Under Pottery,,Down Under Pottery,['studio@downunderpottery.com'],"['https://facebook.com/Down-Under-Pottery-291748188809/', 'https://instagram.com/downunderpottery']","['(291) 748-1888', '(402) 477-7655']","['5731 Vine St, Lincoln, NE, 68505, United States']"
465,drrudlin.com,Dr. Rudlin,,Dr. Rudlin,,,['(804) 353-1000'],['4600 Grove\xa0Avenue']
466,interstatetruck.com,Interstate Truck Equipment Inc.,Interstate Truck Equipment Inc.,Interstate Truck Equipment Inc. | Interstate Truck Equipment | Interstate Truck & Auto Svc. | Interstate Truck,,,['(404) 763-2000'],['2740 Sullivan Road']
467,oldfarmhouseprimitives.com,Old Farmhouse Primitives,,Old Farmhouse Primitives,,,,
468,dskidsermons.com,Dollar Store Children Sermons,,Dollar Store Children Sermons,,,,
469,autobodiparts.com,Auto Body Parts,,Auto Body Parts | Autobodiparts,,,,
470,hiddenforestdesign.com,Hidden Forest Design,,Hidden Forest Design | Hidden Forest Floral Design | Hidden Forest,,,,
471,jahmakingsconstruction.com,Jahmakings,,Jahmakings | JAHMAKINGS CONSTRUCTION,,,,
472,journey2beme.com,Paint Yourself Beautiful,,Paint Yourself Beautiful,,,,
473,marylandplatingservicinginc.com,Maryland Plating & Servicing Inc.,Maryland Plating & Servicing Inc.,Maryland Plating & Servicing Inc. | Maryland Plating & Servicing,,,,
474,salazarthomas.com,THOMAS SALAZAR llc.,THOMAS SALAZAR llc.,THOMAS SALAZAR llc. | SALAZAR LLC.,,,,
